2026-03-21 18:50:53,326 | INFO | algorithm_v1.quantization.base | Loading model from /mnt/82_store/LLM-weights/Qwen2.5-VL-7B-Instruct
Loading checkpoint shards:   0%|          | 0/5 [00:00<?, ?it/s]Loading checkpoint shards:  20%|██        | 1/5 [00:00<00:02,  1.72it/s]Loading checkpoint shards:  40%|████      | 2/5 [00:01<00:01,  1.53it/s]Loading checkpoint shards:  60%|██████    | 3/5 [00:01<00:01,  1.61it/s]Loading checkpoint shards:  80%|████████  | 4/5 [00:02<00:00,  1.82it/s]Loading checkpoint shards: 100%|██████████| 5/5 [00:02<00:00,  2.58it/s]Loading checkpoint shards: 100%|██████████| 5/5 [00:02<00:00,  2.08it/s]
The image processor of type `Qwen2VLImageProcessor` is now loaded as a fast processor by default, even if the model checkpoint was saved with a slow processor. This is a breaking change and may produce slightly different outputs. To continue using the slow processor, instantiate this class with `use_fast=False`. Note that this behavior will be extended to all models in a future release.
2026-03-21 18:51:22,065 | INFO | algorithm_v1.quantization.qat.flatquant.method | Applied FlatQuant wrappers to model
2026-03-21 18:51:24,100 | INFO | algorithm_v1.quantization.qat.flatquant.method | ========= Layer 0 =========
2026-03-21 18:51:25,476 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 0 lwc lac iter 0, lr 0.00494542  time 0.914665s, mse: 0.04065174
2026-03-21 18:51:25,736 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 0 lwc lac iter 1, lr 0.00478408  time 0.259729s, mse: 0.04379919
2026-03-21 18:51:26,047 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 0 lwc lac iter 2, lr 0.00452302  time 0.310954s, mse: 0.04248613
2026-03-21 18:51:26,360 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 0 lwc lac iter 3, lr 0.00417365  time 0.312832s, mse: 0.03777103
2026-03-21 18:51:26,672 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 0 lwc lac iter 4, lr 0.00375125  time 0.312321s, mse: 0.03832947
2026-03-21 18:51:26,985 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 0 lwc lac iter 5, lr 0.00327427  time 0.312550s, mse: 0.03857604
